SongName,ArtistName,Popularity,Tempo,Genre
This Is What You Came For (feat. Rihanna),Calvin Harris,79,99.933,rock
Baarishein,Anuv Jain,79,93.059,rock
Baila Conmigo (with Rauw Alejandro),Selena Gomez,0,115.982,pop
Perfect Strangers,Jonas Blue,59,104.984,rock
Perfect,One Direction,79,97.753,pop
Jalebi Baby (Tesher x Jason Derulo),Tesher,0,178.032,rock
Love Again,Dua Lipa,0,145.252,jazz
Break My Heart Myself (feat. Travis Barker),Bebe Rexha,90,110.968,pop
SugarCrash!,ElyOtto,79,124.01,rock
Higher Power,Coldplay,87,119.976,pop
Astronomy,Conan Gray,95,166.928,pop
Kiss Me More (feat. SZA),Doja Cat,76,94.98,rock
By Your Side (feat. Tom Grennan),Calvin Harris,74,80.95,pop
Leave Before You Love Me (with Jonas Brothers),Marshmello,85,124.111,pop
good 4 u,Olivia Rodrigo,78,149.996,pop
seaside_demo,SEB,84,150.011,pop
Our Song,Anne-Marie,62,107.01,hiphop
Heartbreak Anthem (with David Guetta & Little Mix),Galantis,0,142.096,hiphop
Hide (feat. Seezyn),Juice WRLD,82,180.051,hiphop
HUMBLE.,Kendrick Lamar,88,122.769,pop
Disrespectful,Blueface,72,80.985,pop
Dior,Pop Smoke,81,170.039,electronic
Bandit (with YoungBoy Never Broke Again),Juice WRLD,52,170.002,hiphop
Another Love,Tom Odell,81,170.039,electronic
Crooked Smile (feat. TLC),J. Cole,81,170.039,electronic
Into Your Arms (feat. Ava Max),Witt Lowry,69,94.42,acoustic
Into Your Arms (feat. Ava Max) - BEAUZ Remix,Witt Lowry,69,94.42,acoustic
Into Your Arms (feat. Ava Max),Witt Lowry,64,97.981,pop
Into Your Arms (feat. Ava Max),Witt Lowry,81,92.468,instrumental
Baarishein,Anuv Jain,81,92.468,instrumental
Baarishein,Anuv Jain,66,149.979,pop
anxiety (with FRND),blackbear,59,144.336,pop
Experience,Ludovico Einaudi,74,80.95,pop
Experience,Ludovico Einaudi,77,50.827,jazz
Nightlight,ILLENIUM,85,128.945,pop
Good Things Fall Apart vs. Sad Songs (With Said The Sky feat. Annika Wells),ILLENIUM,78,100.1,pop
Our Song,Anne-Marie,77,104.01,pop
If You Love Her,Forest Blakk,0,123.912,rock
Take Me To Church,Hozier,76,150.978,pop
Takeaway,The Chainsmokers,80,139.02,pop
Call You Mine,The Chainsmokers,0,75.017,pop
If I Can't Have You,Shawn Mendes,3,88.982,pop
Lily,Alan Walker,60,99.951,pop
Teeth,5 Seconds of Summer,0,145.837,pop
Hate Me,Ellie Goulding,85,124.111,pop
Better Days,OneRepublic,87,119.976,pop
Do You Mean,The Chainsmokers,0,145.252,jazz
Talking to the Moon,Bruno Mars,66,98.03,rock
Heartbreak Anthem (with David Guetta & Little Mix),Galantis,87,95.977,pop
Leave Before You Love Me (with Jonas Brothers),Marshmello,0,102.028,rock
Astronomy,Conan Gray,67,127.099,pop
Want You Back,5 Seconds of Summer,67,127.099,pop
Shape of You,Ed Sheeran,0,75.051,acoustic
Hymn for the Weekend - Seeb Remix,Coldplay,77,119.986,rock
Two of Us,Louis Tomlinson,89,102.977,rock
Two of Us,Louis Tomlinson,58,149.941,pop
Lost Cause,Billie Eilish,64,97.981,pop
My Way,Calvin Harris,66,138.856,acoustic
Levitating (feat. DaBaby),Dua Lipa,0,105.193,rock
One More Day (with Chandler Leighton),Jason Ross,89,124.949,dance
anxiety (with FRND),blackbear,0,136.18,rock
A Thousand Years (feat. Steve Kazee) - Pt. 2; The Twilight Saga: Breaking Dawn Soundtrack,Christina Perri,82,176.042,rock
In the End,Linkin Park,81,84.786,rock
Believer,Imagine Dragons,69,189.868,electronic
Radioactive,Imagine Dragons,0,145.837,pop
Centuries,Fall Out Boy,0,145.252,jazz
